uid,ItemID,Rating,Food,Service,Ambience,Value
1,61,4,5,5,4,5
1,47,3,5,3,5,4
1,68,5,4,4,5,4
1,47,5,5,4,5,5
2,17,4,3,4,4,4
3,50,3,4,3,3,3
3,15,5,5,5,5,5
3,85,5,5,4,5,5
3,65,5,4,5,4,4
3,74,5,5,5,4,5
4,55,5,5,5,5,5
4,21,5,5,5,5,5
4,99,3,5,2,4,4
4,99,3,5,3,4,4
4,99,5,5,5,4,5
4,24,4,5,3,3,4
6,48,5,4,5,3,4
6,35,5,5,5,5,5
6,55,5,5,5,4,5
6,10,5,5,5,5,5
7,10,3,5,3,3,4
7,99,4,4,5,4,4
7,85,5,5,5,5,5
7,99,5,5,5,5,5
7,10,2,1,4,2,2
8,55,5,5,5,5,5
8,85,4,4,4,5,4
8,26,3,3,2,4,3
8,63,4,4,5,4,4
8,88,4,5,4,4,4
9,84,3,2,2,2,2
9,10,4,5,4,2,4
9,48,5,5,5,5,5
10,48,3,3,2,2,2
10,44,5,5,4,5,5
10,59,5,4,5,3,4
10,84,5,5,5,5,5
10,47,5,5,5,5,5
10,85,5,5,5,5,5
10,63,4,4,2,4,3
10,10,3,3,3,2,3
11,59,5,5,5,5,5
12,68,3,3,3,3,3
12,68,1,1,3,4,3
12,15,4,3,5,3,4
13,72,3,3,3,3,3
13,96,5,5,5,5,5
13,38,5,5,5,4,5
13,25,5,5,5,5,5
13,49,5,5,5,4,5
14,26,4,4,5,5,5
14,84,5,5,5,5,5
16,94,5,5,5,5,5
16,94,5,5,5,5,5
17,88,2,4,1,3,3
17,44,2,1,3,4,3
17,63,3,4,3,4,4
18,72,5,5,4,4,4
18,92,5,5,5,4,5
18,84,5,5,5,5,5
18,97,5,5,5,5,5
18,33,5,5,5,5,5
18,33,5,4,5,4,4
18,84,5,5,5,5,5
18,84,5,5,5,5,5
18,84,5,5,5,5,5
18,84,5,5,5,5,5
18,84,5,5,5,5,5
18,84,5,5,5,5,5
18,84,5,5,4,5,5
18,72,5,5,5,4,5
18,48,5,5,4,5,5
18,84,5,5,4,5,5
19,92,5,5,5,5,5
20,59,5,5,5,5,5
20,84,5,5,5,5,5
20,59,5,5,5,5,5
20,64,5,5,5,5,5
21,88,5,4,5,5,5
21,96,5,5,5,5,5
21,97,3,3,4,4,4
21,96,5,5,5,5,5
21,43,5,5,5,3,4
21,97,5,4,5,4,4
21,37,5,5,5,5,5
21,35,4,4,3,3,3
21,28,5,5,5,5,5
21,74,5,5,5,5,5
21,74,5,5,5,5,5
21,72,1,1,1,3,2
21,10,5,5,5,4,5
21,10,5,5,5,5,5
24,23,5,5,5,5,5
25,21,4,4,5,5,5
26,44,5,4,5,3,4
26,63,4,4,5,4,4
26,6,5,5,5,5,5
27,86,2,2,3,2,2
27,63,4,4,3,4,4
27,92,5,4,5,4,4
27,67,5,5,5,5,5
28,34,3,3,3,2,3
28,46,5,5,5,5,5
28,98,5,5,5,5,5
28,97,3,2,4,3,3
28,93,5,5,5,5,5
28,74,5,5,5,5,5
28,99,5,5,5,5,5
28,44,5,5,5,5,5
28,56,2,2,3,4,3
28,84,2,1,3,3,2
28,56,3,4,4,3,4
28,47,4,5,4,4,4
28,65,5,4,4,4,4
28,65,5,5,5,5,5
28,81,4,5,5,4,5
28,44,5,5,3,5,4
28,83,3,2,5,4,4
29,99,5,5,5,5,5
29,55,4,4,4,3,4
29,84,2,3,2,2,2
29,44,5,5,5,5,5
29,84,3,3,4,3,3
29,55,4,5,5,3,4
29,88,4,4,3,3,3
29,88,4,3,5,3,4
29,79,5,5,5,3,4
29,64,5,5,5,5,5
30,47,1,1,1,1,1
30,68,5,5,5,5,5
30,68,3,3,3,3,3
30,44,5,5,5,5,5
30,72,2,3,2,3,3
31,50,5,5,5,5,5
31,50,5,5,5,5,5
31,50,5,5,5,5,5
31,77,5,5,5,5,5
31,50,5,5,5,5,5
31,50,5,5,5,5,5
31,55,5,5,5,5,5
31,27,5,4,5,5,5
31,50,5,5,5,5,5
31,50,5,5,5,5,5
32,85,5,5,5,5,5
33,10,2,3,1,1,2
33,99,4,4,5,4,4
33,15,5,5,5,5,5
33,99,5,5,5,5,5
33,21,4,3,5,4,4
35,88,2,1,3,3,2
36,95,4,4,5,3,4
36,84,5,5,5,4,5
36,93,3,4,4,3,4
37,71,3,5,2,2,3
37,21,3,2,3,3,3
37,48,3,5,3,5,4
37,66,4,4,5,4,4
37,25,4,5,5,5,5
37,74,5,5,4,5,5
37,79,5,5,5,3,4
37,62,2,2,2,1,2
37,38,3,4,4,4,4
37,11,4,3,4,4,4
37,94,2,2,1,3,2
37,20,5,5,5,5,5
37,95,4,4,3,4,4
37,65,4,5,2,4,4
37,65,3,3,4,4,4
37,71,3,1,5,4,3
37,81,3,4,2,3,3
39,88,4,4,4,4,4
39,88,4,4,4,3,4
41,67,5,3,5,5,4
41,52,5,5,5,4,5
43,88,3,3,3,3,3
43,56,5,5,4,5,5
43,47,5,5,5,5,5
44,71,5,5,5,5,5
44,33,5,5,5,5,5
45,62,5,5,5,5,5
45,47,5,5,5,5,5
45,57,4,4,4,5,4
45,21,5,5,5,5,5
45,77,5,5,5,5,5
45,91,5,5,5,4,5
47,44,5,5,5,5,5
