uid,ItemID,Rating,Food,Service,Ambience,Value
1,68,5,4,4,5,4
1,47,5,5,4,5,5
2,17,4,3,4,4,4
3,50,3,4,3,3,3
3,15,5,5,5,5,5
3,85,5,5,4,5,5
3,65,5,4,5,4,4
3,74,5,5,5,4,5
4,55,5,5,5,5,5
4,21,5,5,5,5,5
4,99,5,5,5,4,5
4,24,4,5,3,3,4
6,48,5,4,5,3,4
6,35,5,5,5,5,5
6,10,5,5,5,5,5
7,85,5,5,5,5,5
7,99,5,5,5,5,5
7,10,2,1,4,2,2
8,55,5,5,5,5,5
8,85,4,4,4,5,4
8,26,3,3,2,4,3
8,63,4,4,5,4,4
9,84,3,2,2,2,2
9,10,4,5,4,2,4
9,48,5,5,5,5,5
10,48,3,3,2,2,2
10,44,5,5,4,5,5
10,59,5,4,5,3,4
10,84,5,5,5,5,5
10,47,5,5,5,5,5
10,85,5,5,5,5,5
10,63,4,4,2,4,3
10,10,3,3,3,2,3
12,68,1,1,3,4,3
12,15,4,3,5,3,4
13,72,3,3,3,3,3
13,38,5,5,5,4,5
13,25,5,5,5,5,5
13,49,5,5,5,4,5
14,26,4,4,5,5,5
16,94,5,5,5,5,5
17,88,2,4,1,3,3
17,44,2,1,3,4,3
17,63,3,4,3,4,4
18,92,5,5,5,4,5
18,97,5,5,5,5,5
18,33,5,4,5,4,4
18,72,5,5,5,4,5
18,48,5,5,4,5,5
19,92,5,5,5,5,5
20,84,5,5,5,5,5
20,64,5,5,5,5,5
21,88,5,4,5,5,5
21,96,5,5,5,5,5
21,43,5,5,5,3,4
21,97,5,4,5,4,4
21,37,5,5,5,5,5
21,35,4,4,3,3,3
21,28,5,5,5,5,5
21,74,5,5,5,5,5
21,72,1,1,1,3,2
21,10,5,5,5,5,5
24,23,5,5,5,5,5
25,21,4,4,5,5,5
26,44,5,4,5,3,4
26,6,5,5,5,5,5
27,86,2,2,3,2,2
27,63,4,4,3,4,4
27,92,5,4,5,4,4
27,67,5,5,5,5,5
28,34,3,3,3,2,3
28,46,5,5,5,5,5
28,98,5,5,5,5,5
28,97,3,2,4,3,3
28,93,5,5,5,5,5
28,74,5,5,5,5,5
28,99,5,5,5,5,5
28,84,2,1,3,3,2
